rank, p, n, total, time/gen, comm/gen, comp/gen, display/gen, comm/display, sendrecv/gen, barrier/gen
0, 1, 4, 0.188000, 0.001880, 0.000560, 0.001320, 0.182490, 9.091000, 0.000470, 0.000090
0, 1, 8, 0.796000, 0.007960, 0.000560, 0.007400, 0.001070, 0.003500, 0.000490, 0.000070
0, 1, 16, 1.291000, 0.012910, 0.000410, 0.012500, 0.002280, 0.003500, 0.000360, 0.000050
0, 1, 32, 9.574000, 0.095740, 0.000870, 0.094870, 0.016350, 0.006000, 0.000680, 0.000190
0, 1, 64, 26.019000, 0.260190, 0.000580, 0.259610, 0.046980, 0.005500, 0.000520, 0.000060
0, 1, 128, 82.621000, 0.826210, 0.000540, 0.825670, 0.184880, 0.011500, 0.000460, 0.000080
0, 1, 256, 320.523000, 3.205230, 0.000630, 3.204600, 0.487470, 0.016500, 0.000560, 0.000070
0, 1, 512, 1268.173000, 12.681730, 0.001130, 12.680600, 2.000550, 0.059500, 0.000960, 0.000170
0, 1, 102, 54.742000, 0.547420, 0.000490, 0.546930, 0.117050, 0.007000, 0.000420, 0.000070
0, 1, 2048, 20179.737000, 201.797370, 0.004380, 201.792990, 671.047240, 1.194500, 0.003650, 0.000730
0, 2, 4, 0.353000, 0.003530, 0.002670, 0.000860, 0.000650, 0.006500, 0.001700, 0.000970
1, 2, 4, 0.406000, 0.004060, 0.003170, 0.000890, 0.000040, 0.002000, 0.002070, 0.001100
0, 2, 8, 0.592000, 0.005920, 0.002670, 0.003250, 0.001500, 0.006500, 0.001660, 0.001010
1, 2, 8, 0.727000, 0.007270, 0.003870, 0.003400, 0.000040, 0.002000, 0.002740, 0.001130
1, 2, 16, 2.220000, 0.022200, 0.008660, 0.013540, 0.000050, 0.002000, 0.006020, 0.002640
0, 2, 16, 1.776000, 0.017760, 0.003480, 0.014280, 0.004560, 0.006500, 0.002090, 0.001390
1, 2, 32, 7.427000, 0.074270, 0.021490, 0.052780, 0.000050, 0.002500, 0.018590, 0.002900
0, 2, 32, 5.728000, 0.057280, 0.005250, 0.052030, 0.017130, 0.006500, 0.001960, 0.003290
0, 2, 64, 16.383000, 0.163830, 0.005990, 0.157840, 0.052560, 0.008000, 0.001760, 0.004230
1, 2, 64, 21.625000, 0.216250, 0.056730, 0.159520, 0.000060, 0.003000, 0.053880, 0.002850
1, 2, 128, 58.538000, 0.585380, 0.178550, 0.406830, 0.000130, 0.006500, 0.175410, 0.003140
0, 2, 128, 41.105000, 0.411050, 0.003710, 0.407340, 0.174250, 0.014000, 0.001250, 0.002460
1, 2, 256, 216.028000, 2.160280, 0.547250, 1.613030, 0.000380, 0.019000, 0.540220, 0.007030
0, 2, 256, 162.128000, 1.621280, 0.004980, 1.616300, 0.539550, 0.039000, 0.001480, 0.003500
1, 2, 512, 837.809000, 8.378090, 2.021850, 6.356240, 0.001850, 0.092500, 1.987300, 0.034550
0, 2, 512, 639.202000, 6.392020, 0.011590, 6.380430, 1.987990, 0.105500, 0.001460, 0.010130
1, 2, 1024, 16425.269000, 164.252690, 138.892500, 25.360190, 0.005860, 0.293000, 138.876610, 0.015890
0, 2, 1024, 2537.841000, 25.378410, 0.063080, 25.315330, 138.880690, 0.341500, 0.002940, 0.060140
